,dealcounts,dealsizeusdmn,seed_founding,firstrounds_founding,has_ipo,ipo_value,has_tradesale,tradesale_value,name,Strat_score,score_year,incyear,portfoliocompanycity,portfoliocompanystatecounty
134174,2,1.56,0.0,0.0,0.0,0.0,0.0,0.0,MamaMancini's,0.8663640784716298,2010,2010,East Rutherford,NJ
134181,1,5.0,0.0,5.0,0.0,0.0,0.0,0.0,BigTinCan,0.8436765369804009,2011,2011,Boston,MA
134184,7,5.040000000000001,1.73,1.73,0.0,0.0,1.0,0.0,"Boatbound, Inc.",0.3207455396985753,2012,2012,Seattle,WA
134190,4,25.9,6.5,22.5,0.0,0.0,1.0,0.0,"BlueTalon, Inc.",0.9085378288692464,2013,2013,Redwood City,CA
134322,4,156.0,0.0,12.0,0.0,0.0,1.0,120.0,"Tangible Play, Inc.",0.9235553086828402,2013,2013,Palo Alto,CA
134386,3,3.97,0.0,2.0,0.0,0.0,1.0,0.0,"Constant Therapy, Inc.",0.7566868183090708,2012,2012,Newton,MA
134413,14,1.34,0.0,0.0,0.0,0.0,0.0,0.0,ExpenseBot Inc.,0.9269187005316188,2013,2013,Shaker Heights,OH
134530,5,70.0,2.6,67.6,0.0,0.0,0.0,0.0,"The Black Tux, Inc.",0.8410381238181504,2012,2012,Santa Monica,CA
134532,8,74.0,0.0,74.0,0.0,0.0,0.0,0.0,"TrapX Security, Inc.",0.9101868796486244,2012,2012,San Jose,CA
134539,6,96.55,0.0,95.05,0.0,0.0,0.0,0.0,Workboard Inc.,0.934669078109332,2013,2013,Redwood City,CA
134542,26,133.14,2.02,31.28,0.0,0.0,0.0,0.0,"Knightscope, Inc.",0.9257395016627472,2013,2013,Mountain View,CA
134552,5,17.1,1.15,7.15,0.0,0.0,0.0,0.0,"Opternative, Inc.",0.884526676673822,2013,2013,Chicago,IL
134584,8,5.4700000000000015,0.0,0.0,0.0,0.0,0.0,0.0,1000 Museums.com,0.8795498821726975,2007,2007,New York,NY
134644,8,51.26000000000001,4.260000000000002,51.26000000000001,0.0,0.0,0.0,0.0,Opal Labs Inc.,0.8887988052998531,2011,2011,Portland,OR
134655,3,1.61,0.98,0.98,0.0,0.0,0.0,0.0,Knox Payments,0.8296626486565979,2013,2013,San Francisco,CA
134865,3,45.05,0.0,39.0,0.0,0.0,0.0,0.0,Wickr Inc.,0.7772083582614301,2013,2013,San Francisco,CA
134870,9,150.0,0.0,0.0,0.0,0.0,0.0,0.0,RxAdvance Corp,0.8483631241938041,2013,2013,Southborough,MA
134883,3,1.81,1.81,1.81,0.0,0.0,0.0,0.0,"Simple Emotion, Inc.",0.9124554307514824,2012,2012,Portland,OR
135147,8,16.97,0.0,11.7,0.0,0.0,0.0,0.0,"Disruptor Beam, Inc.",0.896784706098544,2011,2011,Framingham,MA
135239,8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Vennli,0.9064228526745856,2013,2013,South Bend,IN
135249,6,30.0,0.0,30.0,0.0,0.0,1.0,0.0,"Polarion Software, Inc.",0.901918548400169,2004,2004,Alameda,CA
135426,4,12.22,3.72,12.22,0.0,0.0,0.0,0.0,Ionic,0.8362417503560934,2012,2012,Madison,WI
