id,website,year,timestamp,error,detailed_error
134174.0,www.mamamancinis.com,2011.0,2020-10-05 14:53:05.374912,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
134558.0,www.unikey.com,2011.0,2020-10-05 14:54:53.285558,soup is None,
135781.0,www.kigokitchen.com,2011.0,2020-10-05 14:55:14.570929,soup is None,
136451.0,www.flexengage.com,2011.0,2020-10-05 14:57:16.593513,soup is None,
137577.0,www.openfin.co,2011.0,2020-10-05 14:57:22.199120,soup is None,
138906.0,www.crowdrise.com,2011.0,2020-10-05 15:01:03.663540,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
138943.0,www.upskill.io,2011.0,2020-10-05 15:13:00.522893,soup is None,
139575.0,www.bighealth.com,2011.0,2020-10-05 15:13:21.748882,soup is None,
139877.0,www.liquifix.com,2011.0,2020-10-05 15:13:34.865859,Text is to short,
139902.0,www.merchantatlas.com,2011.0,2020-10-05 15:13:40.477625,soup is None,
140034.0,www.canvs.tv,2011.0,2020-10-05 15:14:30.519738,soup is None,
140195.0,www.dubset.com,2011.0,2020-10-05 15:22:33.275251,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
140195.0,www.dubset.com,2011.0,2020-10-05 15:36:05.203789,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
141005.0,www.coherus.com,2011.0,2020-10-05 15:39:29.508553,Text is to short,
141257.0,www.edgeintelligence.com,2011.0,2020-10-05 15:41:36.379146,Text is to short,
141680.0,www.aver.io,2011.0,2020-10-05 15:41:42.999471,soup is None,
142193.0,www.welltrackone.co,2011.0,2020-10-05 15:41:48.599237,soup is None,
143567.0,www.repsly.com,2011.0,2020-10-05 15:43:48.146098,soup is None,
143838.0,www.iecrowd.com,2011.0,2020-10-05 15:43:53.704405,soup is None,
145998.0,www.aquicore.com,2011.0,2020-10-05 15:47:48.881653,soup is None,
146327.0,www.sensoriafitness.com,2011.0,2020-10-05 15:50:29.995282,soup is None,
146478.0,www.cardiacinsightinc.com,2011.0,2020-10-05 15:50:35.628151,soup is None,
146923.0,www.mailigen.com,2011.0,2020-10-05 15:51:59.014415,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
146923.0,www.mailigen.com,2011.0,2020-10-05 15:52:24.549850,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
146999.0,www.snowshoestamp.com,2011.0,2020-10-05 15:53:47.938204,soup is None,
148281.0,www.genevahealthsolutions.com,2011.0,2020-10-05 15:54:07.968420,soup is None,
149151.0,http://pages.myredcap.com,2011.0,2020-10-05 15:54:26.816949,soup is None,
153841.0,www.tipalti.com,2011.0,2020-10-05 16:20:42.169503,Text is to short,
155178.0,www.kidizen.com,2011.0,2020-10-05 16:21:18.821745,soup is None,
155260.0,www.barberwindturbines.com,2011.0,2020-10-05 16:22:08.161981,soup is None,
155870.0,www.cuehealth.com,2011.0,2020-10-05 16:23:00.192265,soup is None,
156524.0,www.drinkspindrift.com,2011.0,2020-10-05 16:27:30.178621,soup is None,
158905.0,www.caremerge.com,2011.0,2020-10-05 16:30:21.068847,Text is to short,
159464.0,www.ariacv.com,2011.0,2020-10-05 16:30:26.677725,soup is None,
